Date,PL,Yield_Medio,Prazo_Medio,Ticket_Medio,Ticket Maximo,Maior_exposicao_cedente,Maior_exposicao_sacado,Operacoes 30 Dias,Cedentes Ativos,Sacados Ativos,PDD 30 Dias,Faturamento 30 Dias,PDD/Faturamento 30,psac1,psac2,psac3,psac4,psed1,psed2,psed3,Trades,Yield_PDD,Yield_PDD_T,Atraso,Atraso_PDD,Dias_Atraso,ced_sac
20190927,12346290.83,0.379733952,62.07830096,4605.106612,830461.03,5711880.128,2438682.458,1024,11,451,4964087.59,1,1,0.558916581,0.312056812,0.08688606800000001,0.04214054,0.339063145,0.450764127,0.210172728,19,2.266331602,104.7932952,4693873.89,2602591.93,-84.30807367,
20190930,13699490.34683124,0.4080537130459629,55.20424978273704,4956.400270199436,830461.03,6839810.077313358,2443738.627313362,1232,11,456,4276248.41,1,1,0.5617804430667296,0.3252339515703653,0.07459037264377942,0.038395232719125566,0.3559686071417496,0.4287708470028267,0.2152605458554237,47,2.242181552436685,64.21143705067283,4486775.69,1988587.92,-89.08209425330108,3534104.97
20191001,13489781.08683124,0.4013540863881289,56.486192390958784,4862.934782563532,830461.03,6260605.187313357,2443738.627313362,22,11,459,4168722.73,1,1,0.5688070960856234,0.3164142622126599,0.07579913220372254,0.038979509497994135,0.3477194394127265,0.4364995600459401,0.2157810005413333,22,2.189500906391644,46.85235774477907,3849763.02,1897669.27,-99.83207726640795,3522158.06
20191002,13501504.445723096,0.4104693567015685,54.66481271029317,4840.984024999317,830461.03,6206462.6300083,2448805.2800082983,59,11,460,4071237.53,1,1,0.5675637827272286,0.31632179933495325,0.07738688263965847,0.038727535298159615,0.3480426028742927,0.4372224072840086,0.21473498984169875,27,2.294762948144598,55.30982443720065,3675568.14,1801660.44,-104.49770195526834,3510247.5900000012
20191003,14602339.69,0.021581662,79.58531944,5043.986076,830461.03,7025094.47,3190153.17,121,12,467,4069602.22,1,1,0.591490317,0.29842577600000003,0.072498514,0.037585393,0.37468541,0.421101373,0.204213217,50,0.7388938820000001,3.252554947,3725682.77,1811641.34,-92.28782026,
20191004,14474311.03,0.020346416000000003,80.50752819,4999.762014,830461.03,6936594.22,3190082.94,158,12,472,3992424.74,1,1,0.5861482610000001,0.302971898,0.072244322,0.038635518,0.373160758,0.42274585,0.204093392,32,0.7081613720000001,3.098394863,3667779.26,1795489.17,-93.54403387,
20191007,14842951.85,0.023235422,79.77918438,5150.22618,830461.03,7003694.88,3190012.71,204,12,463,4055346.55,1,1,0.587883313,0.303766764,0.069870034,0.038479889,0.368413614,0.443253138,0.188333248,15,0.691739804,3.06898212,3699112.97,1871167.78,-92.72756366,
20191008,14011027.062541172,0.4771990151224479,45.56037648166802,4751.111245351364,830461.03,6318413.18165869,2474296.5516586923,350,12,469,4036772.12,1,1,0.5600051093697697,0.3236234117427804,0.07449002598748157,0.041881452899968336,0.34137853137450064,0.4551422941671121,0.20347917445838748,31,2.7437319061660967,635.3320221290924,3699150.94,1868507.25,-113.7163752474507,3726858.8600000013
20191231,14050715.319999995,0.14637590239209852,49.06583335929406,7125.109188640973,830461.03,5750696.900000001,3116254.71,589,10,295,751533.33,1,1,0.5778301826700165,0.3118064226782726,0.07881263514205195,0.031550759509658896,0.3718478220509561,0.4653268585332066,0.1628253194158374,0,0.3435936024010671,0.6720728489831174,2630924.1100000003,323896.33,-48.97896316743244,4369862.06
20200116,15010511.89,0.1302025920682346,51.184990815792894,8470.943504514673,830461.03,5944606.4700000025,4804247.420000001,334,11,302,1086967.79,1,1,0.6965606840473981,0.20507148140968565,0.0675801729770321,0.030787661565884143,0.3691098918279461,0.4720411023904129,0.15884900578164107,1,0.4085702986868249,0.7401229285658597,2077829.09,430464.1,-42.06283678991133,6012409.74
20200131,14998216.98,0.11083896007272263,58.135768470526564,9595.78821497121,830461.03,5551580.389999999,5698502.839999997,594,10,274,1110272.09,1,1,0.6901529944394763,0.2207408310211019,0.06316811266721646,0.0259380618722053,0.3690908450905742,0.4772523360306794,0.15365681887874638,12,0.34723561996039504,0.5946381912720329,1610398.84,457331.6,-33.99224926788945,6278796.79
20200205,14869956.49,0.11015744092350577,60.283037632479314,9939.810487967914,748365.22,6051555.710000001,5894507.08,6,10,257,1103820.75,1,1,0.6590495027063795,0.2518097105743449,0.06450583837585916,0.02463494834341644,0.3849775830783215,0.4548112312600318,0.16021118566164672,3,0.30346147401677515,0.5729365306906169,1632934.2699999998,543642.8999999999,-32.892939456773114,7072624.27
