Date,PL,Yield_Medio,Prazo_Medio,Ticket_Medio,Ticket Maximo,Maior_exposicao_cedente,Maior_exposicao_sacado,Operacoes 30 Dias,Cedentes Ativos,Sacados Ativos,PDD 30 Dias,Faturamento 30 Dias,PDD/Faturamento 30,psac1,psac2,psac3,psac4,psed1,psed2,psed3,Trades,Yield_PDD,Yield_PDD_T,Atraso,Atraso_PDD,Dias_Atraso,ced_sac
20191219,3811203.1,0.530682906554742,19.8304067684034,56883.628358208975,200915.14,2532770.3000000003,2532770.3000000003,40,3,18,0.0,1,1,0.6645592568918722,0.06789050155841864,0.13388669053087204,0.13366355101883706,0.6645592568918723,0.3354407431081277,-5.551115123125783e-17,4,0.530682906554742,0.530682906554742,0.0,0.0,0.0,2532770.3000000003
20191220,3831828.14,0.5021252076354046,19.770503968896687,55533.741159420286,200915.14,2536033.93,2536033.93,42,3,20,0.0,1,1,0.6618339438365313,0.06766003863628392,0.13342544898164455,0.13708056854554027,0.6618339438365313,0.33816605616346873,0.0,2,0.5021252076354046,0.5021252076354046,0.0,0.0,0.0,2536033.93
20191226,3858138.62,0.5161240187219827,17.786654166407327,61240.295555555575,200915.14,2545850.0900000003,2545850.0900000003,42,3,17,0.0,1,1,0.6598648573181645,0.07931811169604888,0.1162550478810946,0.14456198310469204,0.6598648573181645,0.3401351426818355,5.551115123125783e-17,0,0.5161240187219827,0.5161240187219827,0.0,0.0,0.0,2545850.09
20191227,3947762.36,0.5218776453839726,16.474714293592893,58055.328823529424,200915.14,2549130.6,2549130.6,47,3,20,0.0,1,1,0.6457153109894893,0.0776717446589161,0.13644490495623438,0.1401680393953602,0.6457153109894892,0.35428468901051074,5.551115123125783e-17,0,0.5218776453839726,0.5218776453839726,0.0,0.0,0.0,2549130.6
20200102,3571579.05,0.5306290989526192,15.21448812955715,61578.949137931035,200915.14,2293876.71,2293876.71,0,3,20,484.91,1,1,0.6422584178838209,0.08636652743273314,0.14802928973390633,0.12334576494953962,0.6422584178838209,0.3577415821161791,5.551115123125783e-17,0,0.5316626939137441,0.5355112943245655,67868.6,339.35,-1.5579693702242272,2293876.71
20200103,3518350.8,0.5341735381711554,14.453599973601268,65154.64444444444,200915.14,2296810.45,2296810.45,0,3,19,75.0,1,1,0.6528088245208524,0.08784771831165901,0.15056033639397154,0.10878312077351701,0.6528088245208522,0.3471911754791478,0.0,0,0.5341735381711554,0.5351659408922591,15000.0,75.0,-2.0,2296810.45
20200106,3435639.59,0.5567481925724713,18.499001936929016,64823.38849056604,200915.14,1968896.64,1968896.64,9,3,13,0.0,1,1,0.5730800884152111,0.13050751053896198,0.17995001041421818,0.1164623906316087,0.5730800884152112,0.4269199115847889,-5.551115123125783e-17,9,0.5567481925724713,0.5569085910928313,50480.0,0.0,0.0,1968896.64
20200107,3885006.6,0.5731050698029818,19.66845298795631,60703.228125,200915.14,1971383.97,1971383.97,23,3,20,0.0,1,1,0.5074338792629078,0.1396704525547009,0.2703577955311582,0.08253787265123308,0.5074338792629078,0.4925661207370922,-5.551115123125783e-17,6,0.5731050698029818,0.5734455205472093,27200.0,0.0,-1.0,1971383.97
20200113,3460081.71,0.5923620806740633,18.101838306009245,54063.77671875,200915.14,1643987.37,1643987.37,32,3,22,10590.38,1,1,0.4369070723477221,0.2966573381875424,0.17217682989341895,0.0942587595713166,0.4369070723477221,0.5630929276522779,0.0,0,0.6543869564978886,0.6632825155664417,281885.2,1105.92,-0.14190173872200454,1504175.49
20200115,3794221.12,6.50683749210939,4.981585290421871,52697.515555555554,200915.14,1820311.65,1515453.94,40,3,26,3252.91,1,1,0.3994110759680765,0.2615569200141926,0.241319670372822,0.09771233364490894,0.4563207033120937,0.5436792966879063,0.0,6,6.7518575482701255,11.6090204431216,206930.0,844.65,-17.052819794133278,1515453.94
20200117,4221073.24,0.6502959598682454,27.478421919066246,50250.871904761916,200915.14,2460692.770000001,1250843.19,52,3,24,6604.55,1,1,0.2963329747862892,0.3157962286387621,0.27056406157027496,0.11730673500467385,0.573478030909504,0.426521969090496,5.551115123125783e-17,13,0.6712907278786162,0.6782412127886062,158000.0,790.0,-2.759493670886076,1250843.19
20200122,4256012.119999999,1.0259650663785005,24.66946457849843,50666.81095238094,204827.15,2843960.7099999995,1632914.87,65,3,23,20054.140000000007,1,1,0.2485266113386914,0.3626810935867354,0.302251157593038,0.08654113748153518,0.6310258604244764,0.3689741395755236,0.0,0,1.1043388574142912,1.346392960664804,891489.6,4269.8,-13.041626643765671,1052443.61
20200123,4391043.069999998,0.6335568006115384,33.937710196497804,46221.506,204827.15,2918823.76,1433241.29,73,3,26,18875.01,1,1,0.241166805498904,0.35221424279949043,0.3186384095294241,0.08798054217218143,0.6418600808668451,0.35813991913315485,5.551115123125783e-17,8,0.6776203255059017,0.7046841652765119,632655.96,3163.28,-3.812447890319409,1053678.97
20200129,4636564.51,0.5962211667430606,33.6376501488599,52688.23306818181,204827.15,2708688.77,1442399.77,72,3,22,7510.62,1,1,0.21014876810157868,0.3275147529436617,0.3850446070899163,0.0772918718648433,0.5652498017330507,0.4347501982669492,5.551115123125783e-17,3,0.6091002224361179,0.6236019514274089,555903.05,2539.74,-1.925744030366446,969496.49
20200130,4445830.280000001,0.7302982683022552,29.10004480872805,58497.76684210527,204827.15,2507213.6900000004,1443559.9400000004,65,3,15,7516.69,1,1,0.21942549052952148,0.1725481140049278,0.43661669423871935,0.17140970122683133,0.5549689337218694,0.44503106627813055,5.551115123125783e-17,0,0.7471633881906461,0.7937762615636594,547947.45,2539.74,-7.880704034666097,970650.8299999998
20200131,4607267.619999999,0.7119880693059752,28.099683783943075,54848.42404761903,204827.15,2626022.9,1444721.5199999998,71,3,20,7223.6,1,1,0.21198900314803076,0.16682659298180733,0.5355567905994572,0.08562761327070469,0.5699740315931551,0.4300259684068451,-5.551115123125783e-17,0,0.7283479216485897,0.7699238525144769,508031.45,2340.16,-7.871330957955457,971806.63
