Date,cota
20181224,1478.619064
20181226,1480.226434
20181227,1479.68693
20181228,1478.508439
20181231,1472.430469
20190102,1469.132744
20190103,1467.728783
20190104,1466.887426
20190107,1477.2074189999998
20190108,1479.541856
20190109,1484.155848
20190110,1483.673223
20190111,1484.22577
20190114,1481.751058
20190115,1481.464148
20190116,1483.0938390000001
20190117,1482.93321
20190118,1483.3260369999998
20190121,1481.4185380000001
20190122,1484.4925779999999
20190123,1491.6849789999999
20190124,1491.7631119999999
20190125,1497.5686859999998
20190128,1496.1217199999999
20190129,1496.683474
20190130,1499.96191
20190131,1501.804673
20190201,1508.021712
20190204,1506.390983
20190205,1506.583007
20190206,1508.5004
20190207,1509.005347
20190208,1509.826351
20190211,1514.894308
20190212,1515.268769
20190213,1515.987279
20190214,1515.666468
